序号,名单名称,中文全名,英文名,身份确认,数据状态,数据版本,来源类型,来源 OVR,调整后 OVR,评级,位置池,主位置,副位置,国籍,俱乐部,身高cm,年龄,惯用脚,逆足,花式,传球,停球,盘带,传中,射门,远射,头球,定位球,抢断,盯人,站位,视野,决策,冷静,无球,纪律,速度,加速,力量,耐力,灵活,弹跳,投入,侵略性,守门,反应,来源 ID,来源 URL,数据集 URL,备注
38,马斯切拉诺,哈维尔·马斯切拉诺,Javier Mascherano,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,84,84,B,MID,DM,AM,阿根廷,巴塞罗那,178,,right,,,83,78,67,61,50,65,69,63,83,80,83,78,81,81,66,73,69,67,77,85,68,71,86,71,10,10,,,,
39,法布雷加斯,法布雷加斯,Cesc Fàbregas,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,B,MID,AM,DM,西班牙,阿森纳,175,,right,,,98,94,87,77,77,79,51,80,44,42,57,99,92,91,83,66,75,78,60,75,83,54,72,47,10,10,,,,
40,范佩西,罗宾·范佩西,Robin van Persie,已映射,26项已齐,FIFA historical snapshot (2018),FIFA historical database archive,78,89,A,ATT,ST,LW,荷兰,阿森纳,188,34,left,3,4,75,86,80,74,79,77,74,83,27,30,31,80,79,85,85,76,54,59,67,52,73,50,52,41,8,8,,https://cdn.sofifa.com/players/007/826/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
41,里瓦尔多,里瓦尔多,Rivaldo,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,87,90,S,MID,AM,ST,巴西,巴塞罗那,186,,left,,,99,96,91,79,85,89,53,82,46,44,59,99,93,93,85,68,77,80,62,77,85,56,74,49,10,10,,,,
43,拉基蒂奇,拉基蒂奇,Ivan Rakitić,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,82,85,B,MID,DM,AM,克罗地亚,巴塞罗那,184,33,right,4,3,85,82,79,84,77,76,59,84,75,76,78,84,80,80,79,66,57,59,71,74,69,33,74,67,8,8,168651,https://cdn.sofifa.com/players/168/651/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
44,曼朱基奇,曼朱基奇,Mario Mandžukić,已映射,26项已齐,FIFA historical snapshot (2015),FIFA historical database archive,83,86,A,ATT,ST,LW,克罗地亚,拜仁慕尼黑,191,33,right,3,3,71,79,75,72,83,61,90,63,62,59,63,74,88,80,87,62,68,61,87,79,65,85,79,88,8,8,,https://cdn.sofifa.com/players/181/783/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
45,古德温,古德温,Craig Goodwin,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,73,94,S,ATT,LW,LM,澳大利亚,阿德莱德联,180,34,left,3,3,70,69,67,74,72,75,60,75,59,58,59,77,72,74,70,62,81,81,71,83,83,79,83,66,8,8,209888,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/craig-goodwin/209888,https://www.ea.com/games/ea-sports-fc/ratings,
47,拉姆斯代尔,拉姆斯代尔,Aaron Ramsdale,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,77,82,B,GK,GK,,英格兰,纽卡斯尔联,191,27,right,3,1,64,36,23,65,14,15,15,19,16,24,74,15,73,60,18,68,77,47,64,40,53,66,40,35,77,79,233934,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aaron-ramsdale/233934,https://www.ea.com/games/ea-sports-fc/ratings,
48,卢西奥,卢西奥,Lúcio,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,89,A,DEF,CB,RB,巴西,国际米兰,185,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
50,科瓦契奇,科瓦契奇,Mateo Kovačić,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,83,83,B,MID,DM,LM,克罗地亚,曼城,178,31,right,4,3,84,85,84,82,68,85,42,69,78,75,76,73,84,84,76,65,67,70,68,77,76,62,77,77,8,8,207410,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mateo-kovacic/207410,https://www.ea.com/games/ea-sports-fc/ratings,
51,博阿滕,博阿滕,Jérôme Boateng,需确认,26项已齐,FIFA 22,FIFA 22 historical database archive,83,87,A,DEF,CB,RB,德国,拜仁慕尼黑,190,32,right,4,2,78,71,64,69,34,58,83,43,84,84,84,78,85,84,47,64,72,63,87,60,55,74,60,83,8,8,183907,https://cdn.sofifa.com/players/183/907/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,暂按热罗姆·博阿滕处理，请确认
52,迪迪,迪迪,Didi,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,92,S,MID,DM,AM,巴西,皇家马德里,185,27,right,,,88,83,72,66,55,70,74,68,88,85,88,83,86,86,71,78,74,72,82,90,73,76,91,76,13,13,real-mid-128,,,使用项目 S3 EA 派生 26 项，按 OVR 88→92 缩放
53,罗比尼奥,罗比尼奥,Robinho,已映射,26项已齐,FIFA historical snapshot (2018),FIFA historical database archive,77,88,A,ATT,LW,RW,巴西,皇家马德里,173,34,right,4,4,76,92,92,79,79,72,47,83,32,33,30,85,73,83,84,79,80,81,50,66,88,64,66,37,15,15,136144,https://cdn.sofifa.com/players/136/144/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,历史 FIFA 细项按 OVR 77→88 缩放
54,卡纳里奥,卡纳里奥,Canário,已映射,26项已齐,S4 game definition,game position template,86,86,A,ATT,RW,CF,巴西,皇家马德里,176,,right,,,81,84,88,85,84,82,73,80,70,70,75,82,80,81,87,78,88,88,73,81,88,73,81,75,8,8,,,,无可靠 EA 普通卡细项，按 S4 RW 位置模板与 OVR 86 生成
55,萨维奥,萨维奥,Sávio Bortolini,已映射,26项已齐,S4 game definition,game position template,87,87,A,ATT,LW,LM,巴西,皇家马德里,176,,left,,,82,85,89,86,85,83,74,81,71,71,76,83,81,82,88,79,89,89,74,82,89,74,82,76,9,9,,,,无可靠 EA 普通卡细项，按 S4 LW 位置模板与 OVR 87 生成
56,泽罗伯托,泽·罗伯托,Zé Roberto,已映射,26项已齐,FIFA historical snapshot (2015),FIFA historical database archive,74,87,A,MID,RM,RB,巴西,拜仁慕尼黑,173,40,left,2,4,83,90,85,86,77,81,73,84,80,78,78,81,79,9,80,44,73,76,66,66,79,61,66,76,16,16,28765,https://cdn.sofifa.com/players/028/765/16_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,历史 FIFA 细项按 OVR 74→87 缩放
57,克洛泽,克洛泽,Miroslav Klose,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,89,A,ATT,ST,AM,德国,拜仁慕尼黑,188,27,right,,,74,86,83,63,95,84,80,72,32,30,51,71,84,91,93,67,85,86,80,76,81,77,74,65,11,11,real-att-133,,,使用项目 S3 EA 派生 26 项，按 OVR 85→89 缩放
58,劳尔,劳尔·冈萨雷斯,Raúl González,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,89,A,ATT,ST,AM,西班牙,皇家马德里,188,27,left,,,74,86,83,63,95,84,80,72,32,30,51,71,84,91,93,67,85,86,80,76,81,77,74,65,9,9,real-att-135,,,使用项目 S3 EA 派生 26 项，按 OVR 88→89 缩放
