序号,分组,名单名称,中文全名,英文名,身份确认,数据状态,EA官方匹配,官方候选,重复状态,现有球员ID,现有球员名,数据版本,来源类型,调整后OVR,评级,位置池,主位置,副位置,国籍,俱乐部,身高cm,年龄,惯用脚,传球,停球,盘带,传中,射门,远射,头球,定位球,抢断,盯人,站位,视野,决策,冷静,无球,纪律,速度,加速,力量,耐力,灵活,弹跳,投入,侵略性,守门,反应,来源ID,来源URL,数据集URL,备注
11,阿根廷,贝隆,胡安·塞巴斯蒂安·贝隆,Juan Sebastián Verón,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,MID,DM,AM,阿根廷,拉齐奥,186,25,右脚,92,86,72,67,55,71,74,70,89,85,89,87,89,87,71,77,72,71,81,91,72,75,90,76,13,13,real-mid-132,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1999/00，年龄25岁，效力拉齐奥，惯用右脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 78%；近邻：罗德里、基米希、卡塞米罗、凯赛多、皮尔洛
12,阿根廷,奥斯瓦尔多·阿尔迪列斯,奥斯瓦尔多·阿尔迪列斯,Osvaldo Ardiles,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,87,A,MID,DM,RM,阿根廷,飓风竞技,170,25,右脚,87,86,77,76,63,75,70,70,85,83,84,86,88,86,72,68,67,67,78,88,71,75,86,81,10,10,,https://en.wikipedia.org/wiki/Osvaldo_Ardiles,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1978，年龄25岁，效力飓风竞技，惯用右脚；同位置回归补齐；目标OVR 87；回归字段 26；锚点权重 0%；近邻：哈维·阿隆索、赖斯、皮尔洛、凯赛多、恰尔汗奥卢
13,阿根廷,克劳迪奥·卡尼吉亚,克劳迪奥·卡尼吉亚,Claudio Caniggia,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,ATT,ST,AM,阿根廷,亚特兰大,184,23,右脚,76,88,83,65,95,86,82,75,33,31,52,74,87,90,93,68,84,88,81,78,83,78,76,66,11,11,real-att-146,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1989/90，年龄23岁，效力亚特兰大，惯用右脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 78%；近邻：莱万多夫斯基、凯恩、克洛泽、劳尔·冈萨雷斯、克鲁伊夫
14,阿根廷,豪尔赫·布鲁查加,豪尔赫·布鲁查加,Jorge Burruchaga,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,87,A,MID,AM,RM,阿根廷,南特,177,23,右脚,88,88,87,86,80,82,62,77,65,64,68,86,88,88,84,69,75,76,68,85,82,71,83,69,9,9,,https://en.wikipedia.org/wiki/Jorge_Burruchaga,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1985/86，年龄23岁，效力南特，惯用右脚；同位置回归补齐；目标OVR 87；回归字段 26；锚点权重 0%；近邻：迪巴拉、麦卡利斯特、厄德高、布鲁诺费尔南德斯、巴雷拉
15,阿根廷,迭戈·西蒙尼,迭戈·西蒙尼,Diego Simeone,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,MID,DM,AM,阿根廷,马德里竞技,178,26,右脚,90,83,70,65,53,69,72,68,87,83,86,85,87,85,69,75,71,69,79,90,70,73,89,74,13,13,real-mid-134,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1995/96，年龄26岁，效力马德里竞技，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 80%；近邻：赖斯、哈维·阿隆索、凯赛多、恰尔汗奥卢、皮尔洛
16,阿根廷,伊瓜因,贡萨洛·伊瓜因,Gonzalo Higuaín,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,87,A,ATT,ST,AM,阿根廷,那不勒斯,186,28,右脚,75,87,87,72,92,85,83,76,26,36,35,80,86,92,93,75,71,69,88,66,73,77,66,58,11,11,167664,https://cdn.sofifa.com/players/167/664/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,使用 Kaggle FIFA 22 完整球员数据库的历史快照；副位置补全为AM。；巅峰赛季：2015/16，年龄28岁，效力那不勒斯，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 75%；近邻：本泽马、希克、马科斯图拉姆、沃特金斯、迭戈·米利托
17,阿根廷,特维斯,卡洛斯·特维斯,Carlos Tévez,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2018),Kaggle FIFA historical complete player archive,86,A,ATT,ST,AM,阿根廷,曼城,170,26,右脚,78,86,85,74,90,86,76,75,49,37,45,81,84,89,88,67,78,81,86,77,84,63,77,80,11,11,143001,https://cdn.sofifa.com/players/143/001/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为AM。；巅峰赛季：2009/10，年龄26岁，效力曼彻斯特城，惯用右脚；来源耦合回归；目标OVR 86；回归字段 0；锚点权重 70%；近邻：罗马里奥、卢克曼、阿约塞、马尔穆什、大卫·比利亚
18,阿根廷,帕雷德斯,莱安德罗·帕雷德斯,Leandro Paredes,已确认,26项已耦合回归,精确命中,Leandro Paredes,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,85,B,MID,AM,DM,阿根廷,巴黎圣日耳曼,180,26,右脚,90,91,86,84,63,80,60,81,78,72,76,86,78,89,73,64,70,70,76,80,77,71,81,85,12,12,207439,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leandro-paredes/207439,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中；巅峰赛季：2020/21，年龄26岁，效力巴黎圣日耳曼，惯用右脚；来源耦合回归；目标OVR 85；回归字段 0；锚点权重 73%；近邻：德保罗、鲁伊·科斯塔、蒂勒曼斯、法布雷加斯、法比安卢伊斯
19,阿根廷,塔利亚菲科,尼古拉斯·塔利亚菲科,Nicolás Tagliafico,已确认,26项已耦合回归,精确命中,Nicolás Tagliafico,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,86,A,DEF,LB,CB,阿根廷,阿贾克斯,172,26,左脚,78,80,77,81,58,52,81,57,86,85,86,73,82,80,74,67,88,87,85,91,83,92,91,84,13,13,211256,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolas-tagliafico/211256,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中；副位置补全为CB。；巅峰赛季：2018/19，年龄26岁，效力阿贾克斯，惯用左脚；来源耦合回归；目标OVR 86；回归字段 0；锚点权重 70%；近邻：马塞洛、格瓦迪奥尔、库尼亚、阿方索戴维斯、巴尔德
20,阿根廷,蒙铁尔,贡萨洛·蒙铁尔,Gonzalo Montiel,已确认,26项已耦合回归,精确命中,Gonzalo Montiel,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,85,B,DEF,RB,RM,阿根廷,河床,175,23,右脚,79,80,79,82,64,65,73,66,85,83,84,78,83,83,80,67,91,86,82,88,85,81,88,86,13,13,231340,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gonzalo-montiel/231340,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中；副位置补全为RM。；巅峰赛季：2020/21，年龄23岁，效力河床，惯用右脚；来源耦合回归；目标OVR 85；回归字段 0；锚点权重 68%；近邻：弗林鹏、迪洛伦佐、波罗、萨内蒂、拉姆
21,阿根廷,海因策,加布里埃尔·海因策,Gabriel Heinze,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2012),Kaggle FIFA historical complete player archive,87,A,DEF,CB,LB,阿根廷,皇家马德里,178,27,左脚,74,70,61,65,42,44,87,68,92,94,94,67,87,79,49,65,65,65,90,68,69,89,69,87,16,16,8222,https://cdn.sofifa.com/players/008/222/14_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为LB。；巅峰赛季：2004/05，年龄27岁，效力曼彻斯特联，惯用左脚；来源锚点+回归补齐；目标OVR 87；回归字段 1；锚点权重 62%；近邻：伊尼戈马丁内斯、于帕梅卡诺、布雷默、博阿滕、施罗德贝克
22,荷兰,罗本,阿尔扬·罗本,Arjen Robben,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,ATT,RW,ST,荷兰,拜仁慕尼黑,180,29,左脚,82,90,93,85,85,88,62,77,39,36,51,82,83,85,89,71,93,96,65,80,93,65,76,53,10,10,real-att-082,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：2012/13，年龄29岁，效力拜仁慕尼黑，惯用左脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 85%；近邻：萨卡、加雷斯·贝尔、杜埃、姆伯莫、罗德里戈
23,荷兰,罗纳德·科曼,罗纳德·科曼,Ronald Koeman,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,DEF,CB,RB,荷兰,巴塞罗那,183,29,右脚,66,64,47,41,35,41,86,43,93,93,91,57,82,79,44,71,71,66,87,78,61,86,80,76,9,9,real-def-130,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1991/92，年龄29岁，效力巴塞罗那，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 88%；近邻：博阿滕、拉斐尔·瓦拉内、伊尼戈马丁内斯、于帕梅卡诺、布雷默
24,荷兰,约翰·内斯肯斯,约翰·内斯肯斯,Johan Neeskens,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,88,A,MID,DM,RB,荷兰,阿贾克斯,178,22,右脚,88,87,77,76,63,75,72,71,86,83,85,87,89,86,73,69,67,67,79,89,71,76,86,82,10,10,,https://en.wikipedia.org/wiki/Johan_Neeskens,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1973/74，年龄22岁，效力阿贾克斯，惯用右脚；同位置回归补齐；目标OVR 88；回归字段 26；锚点权重 0%；近邻：凯赛多、皮尔洛、卡塞米罗、基米希、哈维·阿隆索
25,荷兰,鲁德·克罗尔,鲁德·克罗尔,Ruud Krol,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,86,A,DEF,LB,CB,荷兰,阿贾克斯,184,25,左脚,79,81,79,78,60,65,72,63,85,85,86,79,83,79,75,66,89,85,85,87,80,83,86,78,10,10,,https://en.wikipedia.org/wiki/Ruud_Krol,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1973/74，年龄25岁，效力阿贾克斯，惯用左脚；同位置回归补齐；目标OVR 86；回归字段 26；锚点权重 0%；近邻：格瓦迪奥尔、马塞洛、阿方索戴维斯、库尼亚、特奥
26,荷兰,斯内德,韦斯利·斯内德,Wesley Sneijder,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2017),Kaggle FIFA historical complete player archive,88,A,MID,AM,RM,荷兰,国际米兰,170,25,右脚,92,94,88,90,78,88,41,85,49,42,50,94,87,89,81,74,74,75,62,73,82,40,70,59,11,11,139869,https://cdn.sofifa.com/players/139/869/18_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为RM。；巅峰赛季：2009/10，年龄25岁，效力国际米兰，惯用右脚；来源耦合回归；目标OVR 88；回归字段 0；锚点权重 78%；近邻：哈维巴恩斯、帕尔默、维尔茨、弗朗基德容、德布劳内
27,荷兰,范尼斯特鲁伊,鲁德·范尼斯特鲁伊,Ruud van Nistelrooy,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2011),Kaggle FIFA historical complete player archive,89,A,ATT,ST,AM,荷兰,曼联,188,26,右脚,78,87,87,66,95,75,88,86,39,27,40,84,91,94,96,69,73,69,85,66,73,63,66,74,13,13,10264,https://cdn.sofifa.com/players/010/264/12_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为AM。；巅峰赛季：2002/03，年龄26岁，效力曼彻斯特联，惯用右脚；来源锚点+回归补齐；目标OVR 89；回归字段 1；锚点权重 62%；近邻：凯恩、克洛泽、劳尔·冈萨雷斯、莱万多夫斯基、伊萨克
28,荷兰,威廉·范哈内亨,威廉·范哈内亨,Wim van Hanegem,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,85,B,MID,DM,AM,荷兰,费耶诺德,185,26,左脚,85,84,76,76,63,74,68,69,83,81,82,85,85,83,72,67,65,64,77,86,69,71,84,79,9,9,,https://en.wikipedia.org/wiki/Willem_van_Hanegem,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1969/70，年龄26岁，效力费耶诺德，惯用左脚；同位置回归补齐；目标OVR 85；回归字段 26；锚点权重 0%；近邻：扎卡、拉基蒂奇、楚阿梅尼、维埃拉、德扬·斯坦科维奇
29,荷兰,埃德加·戴维斯,埃德加·戴维斯,Edgar Davids,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,89,A,MID,DM,CB,荷兰,尤文图斯,179,25,左脚,91,86,72,67,55,70,74,70,89,85,89,86,90,87,71,77,72,71,81,92,72,75,91,76,13,13,real-mid-085,https://www.transfermarkt.com/edgar-davids/profil/spieler/5758,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1997/98，年龄25岁，效力尤文图斯，惯用左脚；来源耦合回归；目标OVR 89；回归字段 0；锚点权重 78%；近邻：基米希、罗德里、里杰卡尔德、凯赛多、皮尔洛
30,荷兰,雅普·斯塔姆,雅普·斯塔姆,Jaap Stam,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,A,DEF,CB,DM,荷兰,曼联,189,26,右脚,67,64,47,42,35,41,86,43,93,93,91,57,82,79,44,71,71,66,87,78,61,86,80,76,9,9,real-def-129,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1998/99，年龄26岁，效力曼彻斯特联，惯用右脚；来源耦合回归；目标OVR 87；回归字段 0；锚点权重 88%；近邻：布雷默、施罗德贝克、于帕梅卡诺、伊尼戈马丁内斯、博阿滕
31,荷兰,克鲁伊维特,帕特里克·克鲁伊维特,Patrick Kluivert,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2007),Kaggle FIFA historical complete player archive,88,A,ATT,ST,AM,荷兰,巴塞罗那,188,22,右脚,79,90,85,71,93,82,87,79,34,40,59,73,80,88,87,58,87,90,87,81,81,87,81,79,11,11,5680,https://cdn.sofifa.com/players/005/680/08_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为AM。；巅峰赛季：1998/99，年龄22岁，效力巴塞罗那，惯用右脚；来源锚点+回归补齐；目标OVR 88；回归字段 4；锚点权重 71%；近邻：吉拉西、哲凯赖什、奥斯梅恩、拉达梅尔·法尔考、范巴斯滕
32,荷兰,罗布·伦森布林克,罗布·伦森布林克,Rob Rensenbrink,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S4 positional regression 2026-08-03,S4 same-position regression model,85,B,ATT,LW,ST,荷兰,安德莱赫特,178,28,左脚,79,86,86,82,84,80,64,77,41,44,44,82,83,84,85,72,86,90,66,80,89,77,80,63,11,11,,https://www.transfermarkt.com/rob-rensenbrink/profil/spieler/135644,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全；巅峰赛季：1975/76，年龄28岁，效力安德莱赫特，惯用左脚；同位置回归补齐；目标OVR 85；回归字段 26；锚点权重 0%；近邻：特罗萨德、安东尼戈登、费兰托雷斯、巴尔科拉、莱奥
33,荷兰,弗兰克·德波尔,弗兰克·德波尔,Frank de Boer,已确认,26项已耦合回归,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,86,A,DEF,CB,LB,荷兰,阿贾克斯,191,25,左脚,66,63,46,41,35,41,86,43,91,91,91,57,82,78,44,71,70,66,87,78,61,86,80,76,10,10,real-def-142,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案；巅峰赛季：1994/95，年龄25岁，效力阿贾克斯，惯用左脚；来源耦合回归；目标OVR 86；回归字段 0；锚点权重 88%；近邻：内斯塔、帕瓦尔、米利唐、维维安、丹尼尔·德罗西
34,荷兰,德佩,孟菲斯·德佩,Memphis Depay,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,84,B,ATT,ST,LW,荷兰,里昂,176,27,右脚,78,84,87,82,83,82,66,79,26,24,27,82,82,81,86,64,83,80,82,78,78,71,78,71,8,8,202556,https://cdn.sofifa.com/players/202/556/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,使用 Kaggle FIFA 22 完整球员数据库的历史快照；巅峰赛季：2020/21，年龄27岁，效力里昂，惯用右脚；来源耦合回归；目标OVR 84；回归字段 0；锚点权重 88%；近邻：Yoane Wissa、乔纳森戴维、阿圭罗、Jonathan Burkardt、奥雅萨瓦尔
35,荷兰,范德法特,拉斐尔·范德法特,Rafael van der Vaart,已确认,26项已耦合回归,无结果,,可新增候选,,,FIFA historical snapshot (2018),Kaggle FIFA historical complete player archive,85,B,MID,AM,LM,荷兰,汉堡,175,24,左脚,95,92,88,89,82,86,60,90,62,58,66,92,86,88,85,71,57,61,60,60,82,50,58,73,16,16,45574,https://cdn.sofifa.com/players/045/574/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季；副位置补全为LM。；巅峰赛季：2006/07，年龄24岁，效力汉堡，惯用左脚；来源耦合回归；目标OVR 85；回归字段 0；锚点权重 62%；近邻：法布雷加斯、蒂勒曼斯、奥尔莫、德保罗、鲁伊·科斯塔
36,荷兰,马克·奥维马斯,马克·奥维马斯,Marc Overmars,已确认,26项已耦合回归,无结果,,可新增候选,,,Fifa 20 FUT historical card,Kaggle FUT historical partial card archive,86,A,MID,LM,LW,荷兰,阿森纳,173,25,右脚,80,88,84,81,78,76,63,72,47,49,49,87,87,80,82,68,89,86,65,88,87,76,82,65,9,9,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推；副位置补全为LW。；巅峰赛季：1997/98，年龄25岁，效力阿森纳，惯用右脚；来源锚点+回归补齐；目标OVR 86；回归字段 23；锚点权重 77%；近邻：尼科威廉姆斯、路易斯迪亚斯、华金、扎卡尼、内德维德
