序号,分组,名单名称,中文全名,英文名,身份确认,数据状态,EA官方匹配,官方候选,重复状态,现有球员ID,现有球员名,数据版本,来源类型,来源OVR,调整后OVR,评级,位置池,主位置,副位置,原始位置,国籍,俱乐部,联赛,身高cm,年龄,惯用脚,逆足,花式,passing,firstTouch,dribbling,crossing,finishing,longShots,heading,setPieces,tackling,marking,positioning,vision,decisions,composure,offBall,discipline,pace,acceleration,strength,stamina,agility,jumping,workRate,aggression,goalkeeping,reflexes,来源ID,来源URL,数据集URL,备注
16,阿根廷,贡萨洛·伊瓜因,贡萨洛·伊瓜因,Gonzalo Higuaín,已映射,26项已齐,无结果,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,81,81,,ATT,ST,,ST,Argentina,Inter Miami CF,,186,33,right,4,3,70,81,79,68,86,80,77,71,20,32,25,75,80,84,86,73,58,57,86,56,64,72,56,50,8,8,167664,https://cdn.sofifa.com/players/167/664/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,使用 Kaggle FIFA 22 完整球员数据库的历史快照
17,阿根廷,卡洛斯·特维斯,卡洛斯·特维斯,Carlos Tévez,已映射,26项已齐,无结果,,可新增候选,,,FIFA historical snapshot (2018),Kaggle FIFA historical complete player archive,78,78,,ATT,ST,,ST,Argentina,Boca Juniors,,170,36,right,3,4,73,78,78,71,83,80,67,69,51,34,37,76,75,82,80,61,68,70,83,69,76,51,69,80,8,8,143001,https://cdn.sofifa.com/players/143/001/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
18,阿根廷,莱安德罗·帕雷德斯,莱安德罗·帕雷德斯,Leandro Paredes,已映射,26项已齐,精确命中,Leandro Paredes,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,78,78,,MID,AM,DM,CM,Argentina,AS Roma,Serie A Enilive,180,32,right,4,4,85,84,78,77,50,72,56,75,76,70,71,82,68,82,62,56,62,62,75,74,68,70,74,88,8,8,207439,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/leandro-paredes/207439,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中
19,阿根廷,尼古拉斯·塔利亚菲科,尼古拉斯·塔利亚菲科,Nicolás Tagliafico,已映射,26项已齐,精确命中,Nicolás Tagliafico,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,78,78,,DEF,LB,,LB,Argentina,OL,Ligue 1 McDonald's,172,33,left,2,3,72,76,73,75,57,46,77,51,77,76,76,67,74,76,69,58,76,78,75,83,78,87,83,81,8,8,211256,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolas-tagliafico/211256,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中
20,阿根廷,贡萨洛·蒙铁尔,贡萨洛·蒙铁尔,Gonzalo Montiel,已映射,26项已齐,精确命中,Gonzalo Montiel,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,76,76,,DEF,RB,,RB,Argentina,Sevilla FC,LALIGA EA SPORTS,175,29,right,3,3,69,72,73,73,58,61,67,62,73,71,71,69,74,75,73,57,80,79,68,77,81,77,77,83,8,8,231340,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gonzalo-montiel/231340,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中
21,阿根廷,加布里埃尔·海因策,加布里埃尔·海因策,Gabriel Heinze,已映射,部分参考（25/26）,无结果,,可新增候选,,,FIFA historical snapshot (2012),Kaggle FIFA historical complete player archive,74,74,,DEF,CB,,CB,Argentina,Newell's Old Boys,,178,35,left,3,2,63,60,58,67,29,25,72,68,76,76,76,58,72,,40,51,45,44,73,51,58,76,51,76,8,8,8222,https://cdn.sofifa.com/players/008/222/14_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
22,荷兰,阿尔扬·罗本,阿尔扬·罗本,Arjen Robben,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,87,87,,ATT,RW,ST,RW,荷兰,拜仁慕尼黑,,180,27,left,,,80,88,98,83,85,86,59,74,35,32,49,80,80,86,91,68,99,99,62,78,92,61,73,49,8,8,real-att-082,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
23,荷兰,罗纳德·科曼,罗纳德·科曼,Ronald Koeman,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,88,,DEF,CB,RB,CB,荷兰,传奇球员,,183,27,right,,,66,63,44,39,35,41,87,43,92,92,91,58,83,79,44,73,69,66,87,79,62,87,81,76,10,10,real-def-130,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
24,荷兰,约翰·内斯肯斯,约翰·内斯肯斯,Johan Neeskens,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
25,荷兰,鲁德·克罗尔,鲁德·克罗尔,Ruud Krol,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
26,荷兰,韦斯利·斯内德,韦斯利·斯内德,Wesley Sneijder,已映射,26项已齐,无结果,,可新增候选,,,FIFA historical snapshot (2017),Kaggle FIFA historical complete player archive,83,83,,MID,AM,,CAM,Netherlands,OGC Nice,,170,33,right,5,3,85,85,82,86,72,84,32,81,39,32,39,88,77,83,74,70,68,69,57,62,75,30,62,55,8,8,139869,https://cdn.sofifa.com/players/139/869/18_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
27,荷兰,鲁德·范尼斯特鲁伊,鲁德·范尼斯特鲁伊,Ruud van Nistelrooy,已映射,部分参考（25/26）,无结果,,可新增候选,,,FIFA historical snapshot (2011),Kaggle FIFA historical complete player archive,77,77,,ATT,ST,,ST,Netherlands,Málaga CF,,188,34,right,3,3,67,74,70,56,79,56,80,79,34,16,22,75,80,,91,59,49,46,77,47,54,45,47,68,8,8,10264,https://cdn.sofifa.com/players/010/264/12_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
28,荷兰,威廉·范哈内亨,威廉·范哈内亨,Wim van Hanegem,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
29,荷兰,埃德加·戴维斯,埃德加·戴维斯,Edgar Davids,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,84,84,,MID,DM,CB,DM,未登记,未登记俱乐部,,179,27,left,,,83,78,67,61,50,65,69,63,83,80,83,78,81,81,66,73,69,67,77,85,68,71,86,71,10,10,real-mid-085,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
30,荷兰,雅普·斯塔姆,雅普·斯塔姆,Jaap Stam,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,88,88,,DEF,CB,DM,CB,荷兰,传奇球员,,189,27,right,,,66,63,44,39,35,41,87,43,92,92,91,58,83,79,44,73,69,66,87,79,62,87,81,76,10,10,real-def-129,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
31,荷兰,帕特里克·克鲁伊维特,帕特里克·克鲁伊维特,Patrick Kluivert,已映射,部分参考（22/26）,无结果,,可新增候选,,,FIFA historical snapshot (2007),Kaggle FIFA historical complete player archive,81,81,,ATT,ST,,ST,Netherlands,LOSC Lille,,188,30,right,4,1,74,84,78,67,85,75,82,73,29,38,57,,70,,76,49,81,84,84,75,,,75,77,8,8,5680,https://cdn.sofifa.com/players/005/680/08_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
32,荷兰,罗布·伦森布林克,罗布·伦森布林克,Rob Rensenbrink,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
33,荷兰,弗兰克·德波尔,弗兰克·德波尔,Frank de Boer,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,86,86,,DEF,CB,LB,CB,荷兰,传奇球员,,191,27,left,,,65,62,43,38,34,40,86,42,91,91,90,57,82,78,43,72,68,65,86,78,61,86,80,75,10,10,real-def-142,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
34,荷兰,孟菲斯·德佩,孟菲斯·德佩,Memphis Depay,已映射,26项已齐,无结果,,可新增候选,,,FIFA 22 historical snapshot,Kaggle FIFA 22 complete player archive,85,85,,ATT,ST,LW,CF,Netherlands,FC Barcelona,,176,27,right,3,5,80,85,86,84,83,83,65,81,26,23,26,85,83,80,85,65,82,81,83,79,80,69,79,72,8,8,202556,https://cdn.sofifa.com/players/202/556/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,使用 Kaggle FIFA 22 完整球员数据库的历史快照
35,荷兰,拉斐尔·范德法特,拉斐尔·范德法特,Rafael van der Vaart,已映射,26项已齐,无结果,,可新增候选,,,FIFA historical snapshot (2018),Kaggle FIFA historical complete player archive,67,67,,MID,AM,,CAM,Netherlands,Esbjerg fB,,175,35,left,4,3,75,70,67,73,66,70,50,77,44,41,44,74,62,66,67,55,31,35,47,27,62,33,27,69,8,8,45574,https://cdn.sofifa.com/players/045/574/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
36,荷兰,马克·奥维马斯,马克·奥维马斯,Marc Overmars,已映射,部分参考（3/26）,无结果,,可新增候选,,,Fifa 20 FUT historical card,Kaggle FUT historical partial card archive,90,90,,MID,LM,,LM,Netherlands,Icons,Icons,173,,,5,3,81,,89,,,,,,,,,,,,,,95,,,,,,,,,,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推
37,荷兰,乔瓦尼·范布隆克霍斯特,乔瓦尼·范布隆克霍斯特,Giovanni van Bronckhorst,已映射,部分参考（3/26）,无结果,,可新增候选,,,Fifa 10 FUT historical card,Kaggle FUT historical partial card archive,75,75,,MID,DM,,CDM,Netherlands,Feyenoord,Icons,178,,,3,,74,,71,,,,,,,,,,,,,,71,,,,,,,,,,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推
38,荷兰,菲利普·科库,菲利普·科库,Phillip Cocu,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
39,荷兰,迪尔克·库伊特,迪尔克·库伊特,Dirk Kuyt,已映射,26项已齐,无结果,,可新增候选,,,FIFA historical snapshot (2015),Kaggle FIFA historical complete player archive,75,75,,ATT,ST,AM,ST,Netherlands,Feyenoord,,183,35,right,2,3,73,74,69,77,75,73,80,67,62,62,64,74,77,84,80,64,66,63,75,83,65,73,83,75,8,8,15723,https://cdn.sofifa.com/players/015/723/17_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
40,荷兰,汉斯·范布鲁克伦,汉斯·范布鲁克伦,Hans van Breukelen,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
41,荷兰,马克·范博梅尔,马克·范博梅尔,Mark van Bommel,已映射,部分参考（3/26）,无结果,,可新增候选,,,Fifa 11 FUT historical card,Kaggle FUT historical partial card archive,82,82,,MID,DM,,CDM,Netherlands,Bayern München,Icons,187,,,2,2,80,,66,,,,,,,,,,,,,,63,,,,,,,,,,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推
42,荷兰,约翰尼·雷普,约翰尼·雷普,Johnny Rep,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
43,荷兰,若尔日尼奥·维纳尔杜姆,若尔日尼奥·维纳尔杜姆,Georginio Wijnaldum,已映射,26项已齐,精确命中,Georginio Wijnaldum,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,78,78,,MID,AM,DM,CM,Holland,Al Ettifaq,ROSHN Saudi League,175,35,right,4,3,77,81,78,71,70,73,78,73,73,76,77,76,77,80,79,62,68,69,73,76,82,82,76,75,8,8,181291,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/georginio-wijnaldum/181291,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中
44,葡萄牙,佩佩（中后卫）,佩佩,Pepe,已映射,26项已齐,仅相似结果,Pepê | Pepelu | Nicolas Pépé | Pepe Reina | Pépé Bonet,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,82,82,,DEF,CB,RB,CB,未登记,未登记俱乐部,,191,27,right,,,62,59,40,35,31,37,83,39,88,88,87,54,79,75,40,69,65,62,83,75,58,83,77,72,9,9,real-def-032,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
45,葡萄牙,德科,德科,Deco,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,84,84,,MID,AM,ST,AM,未登记,未登记俱乐部,,176,27,right,,,90,88,84,77,77,79,51,80,47,42,57,90,85,86,83,66,75,78,60,75,83,54,72,47,10,10,real-mid-088,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
46,葡萄牙,马里奥·科卢纳,马里奥·科卢纳,Mário Coluna,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
47,葡萄牙,保罗·富特雷,保罗·富特雷,Paulo Futre,已映射,部分参考（3/26）,无结果,,可新增候选,,,Fifa 17 FUT historical card,Kaggle FUT historical partial card archive,87,87,,ATT,LW,,LW,Portugal,Legends,Legends,175,,,5,4,78,,92,,,,,,,,,,,,,,84,,,,,,,,,,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推
48,葡萄牙,费尔南多·佩罗特奥,费尔南多·佩罗特奥,Fernando Peyroteo,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
49,葡萄牙,若泽·阿瓜斯,若泽·阿瓜斯,José Águas,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
50,葡萄牙,费尔南多·戈麦斯,费尔南多·戈麦斯,Fernando Gomes,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
51,葡萄牙,鲁伊·帕特里西奥,鲁伊·帕特里西奥,Rui Patrício,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,80,80,,GK,GK,,GK,未登记,未登记俱乐部,,194,27,left,,,54,51,24,14,6,10,21,20,16,14,82,51,76,74,16,72,44,46,72,58,66,78,51,32,88,88,real-gk-056,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
52,葡萄牙,若昂·穆蒂尼奥,若昂·穆蒂尼奥,João Moutinho,已映射,26项已齐,精确命中,João Moutinho,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,77,77,,MID,AM,DM,CM,Portugal,SC Braga,Liga Portugal,170,39,right,4,3,83,79,74,75,62,68,62,77,66,70,70,74,77,83,73,65,39,47,55,75,60,59,75,70,8,8,162347,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joao-moutinho/162347,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中
53,葡萄牙,温贝托·科埃略,温贝托·科埃略,Humberto Coelho,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
54,葡萄牙,查拉纳,查拉纳,Chalana,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
55,葡萄牙,保莱塔,保莱塔,Pauleta,已映射,部分参考（3/26）,仅相似结果,Pauleta | Pauleta Sancho,可新增候选,,,Fifa 17 FUT historical card,Kaggle FUT historical partial card archive,87,87,,ATT,ST,,ST,Portugal,Legends,Legends,180,,,4,3,72,,78,,,,,,,,,,,,,,82,,,,,,,,,,,,https://www.kaggle.com/datasets/mohammedessam97/fifa-1020-fut-players-dataset,使用 Kaggle FUT 历史卡面数据；仅填写可直接对应的传球、盘带、速度，其他细项不反推
56,葡萄牙,曼努埃尔·本托,曼努埃尔·本托,Manuel Bento,已映射,26项已齐,无结果,,可新增候选,,,YellowDogs S3 EA-derived archive,project S3 EA-derived historical profile,82,82,,GK,GK,,GK,未登记,未登记俱乐部,,186,27,right,,,55,52,25,15,7,11,22,21,17,15,83,52,77,75,17,73,45,47,73,59,67,79,52,33,89,89,real-gk-086,,backups/player-data/S3-player-pool-700-20260725.json,EA 当前接口未收录；使用项目 S3 的 EA 派生历史档案
57,葡萄牙,若昂·维埃拉·平托,若昂·维埃拉·平托,João Vieira Pinto,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
58,葡萄牙,费尔南多·库托,费尔南多·库托,Fernando Couto,已映射,部分参考（22/26）,无结果,,可新增候选,,,FIFA historical snapshot (2007),Kaggle FIFA historical complete player archive,82,82,,DEF,CB,,CB,Portugal,Parma,,183,37,right,3,1,69,75,59,66,36,69,90,57,86,88,88,,47,,60,41,59,60,70,60,,,60,70,8,8,1186,https://cdn.sofifa.com/players/001/186/08_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,使用 Kaggle FIFA 历史完整球员数据库中的最后可用赛季
59,葡萄牙,维托尔·拜亚,维托尔·拜亚,Vítor Baía,需确认,缺少可靠细项,无结果,,可新增候选,,,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA 当前接口及已下载的历史档案均未找到可靠细项，需人工补全
60,葡萄牙,纳尼,纳尼,Nani,已映射,26项已齐,精确命中,Nani,可新增候选,,,EA SPORTS FC official live ratings,EA official Drop API,73,73,,MID,LM,LW,LM,Portugal,Estrela Amadora,Liga Portugal,177,39,right,5,4,73,75,79,75,70,75,68,77,21,41,36,77,60,79,69,58,66,68,74,60,77,76,60,69,8,8,139068,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nani/139068,https://www.ea.com/games/ea-sports-fc/ratings,EA 官方 FC Ratings 实时接口精确命中
