序号,名单名称,中文全名,英文名,身份确认,数据状态,数据版本,来源类型,来源OVR,调整后OVR,评级,位置池,主位置,副位置,原始位置,国籍,俱乐部,联赛,身高cm,年龄,惯用脚,逆足,花式,passing,firstTouch,dribbling,crossing,finishing,longShots,heading,setPieces,tackling,marking,positioning,vision,decisions,composure,offBall,discipline,pace,acceleration,strength,stamina,agility,jumping,workRate,aggression,goalkeeping,reflexes,来源ID,来源URL,数据集URL,备注
13,布斯克茨,布斯克茨,Sergio Busquets,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,80,80,,MID,DM,AM,CDM,Spain,Inter Miami CF,MLS,189,37,right,3,3,80,79,80,79,65,54,68,65,78,78,78,59,76,83,73,63,35,34,72,75,64,64,75,76,8,8,189511,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sergio-busquets/189511,https://www.ea.com/games/ea-sports-fc/ratings,
14,摩根罗杰斯,摩根·罗杰斯,Morgan Rogers,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,82,82,,MID,AM,RM,CAM,England,Aston Villa,Premier League,188,23,right,4,4,80,84,86,83,80,75,64,64,61,68,68,75,82,85,81,67,77,74,80,83,80,79,83,70,8,8,260247,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/morgan-rogers/260247,https://www.ea.com/games/ea-sports-fc/ratings,
15,蒂亚戈席尔瓦,蒂亚戈·席尔瓦,Thiago Silva,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,84,84,,DEF,CB,DM,CB,未登记,未登记俱乐部,,186,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
16,内马尔,内马尔,Neymar Jr,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,88,,ATT,LW,ST,LW,巴西,桑托斯,,175,,right,,,86,94,99,83,85,79,59,81,30,32,49,86,80,84,87,68,92,98,61,78,98,61,73,49,8,8,,,,
17,儒利奥塞萨尔,儒利奥·塞萨尔,Júlio César,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,GK,GK,,GK,未登记,未登记俱乐部,,190,,left,,,57,54,27,17,9,13,24,23,19,17,85,54,79,77,19,75,47,49,75,61,69,81,54,35,91,91,,,,
18,斯坦科维奇,德扬·斯坦科维奇,Dejan Stanković,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,83,83,,MID,DM,AM,DM,塞尔维亚,传奇球员,,178,,right,,,82,77,66,60,49,64,68,62,82,79,82,77,80,80,65,72,68,66,76,84,67,70,85,70,10,10,,,,
19,本阿尔法,哈特姆·本阿尔法,Hatem Ben Arfa,已映射,26项已齐,FIFA historical snapshot (2020),FIFA historical database archive,75,75,,MID,AM,,CAM,France,Real Valladolid CF,,178,33,left,4,5,73,78,83,72,70,73,46,79,24,31,34,78,71,80,72,65,70,73,64,62,75,74,62,61,8,8,,https://cdn.sofifa.com/players/161/648/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
20,德罗索,丹尼尔·德罗西,Daniele De Rossi,需确认,26项已齐,FIFA historical snapshot (2019),FIFA historical database archive,82,82,,DEF,CB,DM,CB,Italy,Boca Juniors,,183,35,right,4,2,78,77,64,57,50,72,81,71,81,90,90,73,80,92,55,65,59,60,78,70,62,74,70,83,8,8,,https://cdn.sofifa.com/players/053/302/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,按常见笔误映射为丹尼尔·德罗西，请确认
21,托蒂,弗朗切斯科·托蒂,Francesco Totti,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,88,,ATT,ST,LW,ST,意大利,传奇球员,,187,,right,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,,,,
22,马特拉齐,马尔科·马特拉齐,Marco Materazzi,已映射,26项已齐,FIFA historical snapshot (2001),FIFA historical database archive,76,76,,DEF,CB,,CB,Italy,Inter,,193,36,left,3,2,63,50,30,44,39,68,80,65,73,80,80,66,66,1,24,35,61,57,88,58,57,82,58,85,8,8,,https://cdn.sofifa.com/players/177/844/11_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
23,鲁伊科斯塔,鲁伊·科斯塔,Rui Costa,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,MID,AM,DM,AM,葡萄牙,AC米兰,,180,,right,,,98,94,87,77,77,79,51,80,44,42,57,99,91,91,83,66,75,78,60,75,83,54,72,47,10,10,,,,
24,科恩特朗,法比奥·科恩特朗,Fábio Coentrão,已映射,26项已齐,FIFA historical snapshot (2018),FIFA historical database archive,77,77,,MID,LM,,LM,Portugal,Rio Ave FC,,178,30,left,2,4,76,79,81,80,65,67,63,61,79,68,72,76,77,82,76,61,75,77,66,82,76,79,82,80,8,8,,https://cdn.sofifa.com/players/171/688/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
25,卡瓦略,卡瓦略,Ricardo Carvalho,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,84,84,,DEF,CB,RB,CB,未登记,未登记俱乐部,,186,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
26,比利亚,大卫·比利亚,David Villa,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,86,86,,ATT,ST,AM,ST,西班牙,传奇球员,,188,,right,,,72,84,81,61,93,82,78,70,30,28,49,69,82,89,91,65,83,84,78,74,79,75,72,63,8,8,,,,
27,华金,华金,Joaquín,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,69,69,,MID,LM,ST,LM,Spain,Málaga CF,LALIGA HYPERMOTION,173,27,left,5,3,62,67,70,66,64,62,44,49,21,21,22,68,62,65,69,59,82,83,61,63,81,64,63,55,8,8,246276,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joaquin/246276,https://www.ea.com/games/ea-sports-fc/ratings,
28,肯佩斯,肯佩斯,Mario Kempes,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,87,87,,ATT,ST,RW,ST,阿根廷,传奇球员,,187,,left,,,73,85,82,62,94,83,79,71,31,29,50,70,83,90,92,66,84,85,79,75,80,76,73,64,8,8,,,,
29,克林斯曼,尤尔根·克林斯曼,Jürgen Klinsmann,已映射,缺少可靠历史数据,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,盖德穆勒,盖德·穆勒,Gerd Müller,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,89,89,,ATT,ST,AM,ST,德国,传奇球员,,188,,right,,,74,86,83,63,95,84,80,72,32,30,51,71,84,91,93,67,85,86,80,76,81,77,74,65,8,8,,,,
31,里杰卡尔德,里杰卡尔德,Frank Rijkaard,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,88,88,,MID,DM,CB,DM,荷兰,AC米兰,,190,,right,,,90,80,69,63,52,67,76,65,93,88,89,80,83,88,68,73,71,69,84,87,70,73,93,79,10,10,,,,
32,古力特,古利特,Ruud Gullit,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,89,89,,MID,AM,ST,AM,荷兰,AC米兰,,191,,right,,,96,91,92,80,80,85,61,83,53,45,60,93,88,89,89,69,78,81,70,85,86,57,82,50,10,10,,,,
33,阿扎尔,阿扎尔,Eden Hazard,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,85,85,,ATT,LW,ST,LW,Belgium,Real Madrid CF,,175,30,right,4,4,83,88,89,77,78,77,61,83,25,34,38,84,79,89,83,73,84,86,61,77,87,55,77,54,8,8,183277,https://cdn.sofifa.com/players/183/277/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
34,法尔考,拉达梅尔·法尔考,Radamel Falcao,已映射,26项已齐,FIFA historical snapshot (2019),FIFA historical database archive,80,80,,ATT,ST,,ST,Colombia,Galatasaray SK,,178,34,right,4,3,69,81,73,55,83,75,84,78,31,39,40,67,82,82,87,65,64,66,71,60,75,85,60,73,8,8,,https://cdn.sofifa.com/players/167/397/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,用户已确认：哥伦比亚前锋 Radamel Falcao
35,哈维阿隆索,哈维·阿隆索,Xabi Alonso,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,MID,DM,CB,DM,西班牙,皇家马德里,,183,,right,,,91,78,67,61,50,65,69,69,87,80,86,85,87,86,66,73,66,67,77,85,68,71,86,71,10,10,,,,
36,托马斯穆勒,托马斯·穆勒,Thomas Müller,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,80,80,,MID,AM,ST,CAM,Germany,Whitecaps FC,MLS,185,36,right,4,3,81,80,77,87,81,74,79,70,52,47,53,85,88,88,90,73,59,53,66,63,67,73,63,62,8,8,189596,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thomas-muller/189596,https://www.ea.com/games/ea-sports-fc/ratings,
37,博格巴,博格巴,Paul Pogba,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,79,79,,MID,AM,DM,CM,France,AS Monaco,Ligue 1 McDonald's,191,33,right,4,5,84,86,87,83,68,81,73,80,62,52,56,72,71,82,73,60,64,60,88,56,68,82,56,77,8,8,195864,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paul-pogba/195864,https://www.ea.com/games/ea-sports-fc/ratings,
38,马斯切拉诺,哈维尔·马斯切拉诺,Javier Mascherano,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,84,84,,MID,DM,AM,DM,阿根廷,传奇球员,,178,,right,,,83,78,67,61,50,65,69,63,83,80,83,78,81,81,66,73,69,67,77,85,68,71,86,71,10,10,,,,
39,法布雷加斯,法布雷加斯,Cesc Fàbregas,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,MID,AM,DM,AM,西班牙,阿森纳,,175,,right,,,98,94,87,77,77,79,51,80,44,42,57,99,92,91,83,66,75,78,60,75,83,54,72,47,10,10,,,,
40,范佩西,罗宾·范佩西,Robin van Persie,已映射,26项已齐,FIFA historical snapshot (2018),FIFA historical database archive,78,78,,MID,AM,,CAM,Netherlands,Feyenoord,,188,34,left,3,4,75,86,80,74,79,77,74,83,27,30,31,80,79,85,85,76,54,59,67,52,73,50,52,41,8,8,,https://cdn.sofifa.com/players/007/826/19_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
41,里瓦尔多,里瓦尔多,Rivaldo,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,87,87,,MID,AM,ST,AM,巴西,巴塞罗那,,186,,left,,,99,96,91,79,85,89,53,82,46,44,59,99,93,93,85,68,77,80,62,77,85,56,74,49,10,10,,,,
42,阿韦洛亚,阿尔瓦罗·阿韦洛亚,Álvaro Arbeloa,已映射,缺少可靠历史数据,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,拉基蒂奇,拉基蒂奇,Ivan Rakitić,已映射,26项已齐,FIFA 22,FIFA 22 historical database archive,82,82,,MID,AM,,CM,Croatia,Sevilla FC,,184,33,right,4,3,85,82,79,84,77,76,59,84,75,76,78,84,80,80,79,66,57,59,71,74,69,33,74,67,8,8,168651,https://cdn.sofifa.com/players/168/651/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,
44,曼朱基奇,曼朱基奇,Mario Mandžukić,已映射,26项已齐,FIFA historical snapshot (2015),FIFA historical database archive,83,83,,ATT,ST,,ST,Croatia,Juventus,,191,33,right,3,3,71,79,75,72,83,61,90,63,62,59,63,74,88,80,87,62,68,61,87,79,65,85,79,88,8,8,,https://cdn.sofifa.com/players/181/783/20_120.png,https://www.kaggle.com/datasets/ekrembayar/fifa-21-complete-player-dataset,
45,古德温,古德温,Craig Goodwin,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,73,73,,MID,LM,RM,LM,Australia,Adelaide United,A-League,180,34,left,3,3,70,69,67,74,72,75,60,75,59,58,59,77,72,74,70,62,81,81,71,83,83,79,83,66,8,8,209888,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/craig-goodwin/209888,https://www.ea.com/games/ea-sports-fc/ratings,
46,佩佩,佩佩,Pepe,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,78,78,,MID,AM,RM,CAM,Brazil,FC Porto,Liga Portugal,173,29,right,2,4,72,84,83,75,70,72,42,62,43,55,63,71,79,73,78,68,85,86,52,73,87,61,73,54,8,8,238896,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/pepe/238896,https://www.ea.com/games/ea-sports-fc/ratings,
47,拉姆斯代尔,拉姆斯代尔,Aaron Ramsdale,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,77,77,,GK,GK,,GK,England,Newcastle Utd,Premier League,191,27,right,3,1,64,36,23,65,14,15,15,19,16,24,74,15,73,60,18,68,77,47,64,40,53,66,40,35,77,79,233934,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aaron-ramsdale/233934,https://www.ea.com/games/ea-sports-fc/ratings,
48,卢西奥,卢西奥,Lúcio,已映射,26项已齐,YellowDogs S3 EA-derived archive,project S3 EA-derived profile,85,85,,DEF,CB,RB,CB,未登记,未登记俱乐部,,185,,right,,,64,61,42,37,33,39,85,41,90,90,89,56,81,77,42,71,67,64,85,77,60,85,79,74,10,10,,,,
49,邓加,邓加,Dunga,已映射,缺少可靠历史数据,unresolved,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,科瓦契奇,科瓦契奇,Mateo Kovačić,已映射,26项已齐,EA SPORTS FC 26,EAFC26 official ratings snapshot,83,83,,MID,AM,DM,CM,Croatia,Manchester City,Premier League,178,31,right,4,3,84,85,84,82,68,85,42,69,78,75,76,73,84,84,76,65,67,70,68,77,76,62,77,77,8,8,207410,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mateo-kovacic/207410,https://www.ea.com/games/ea-sports-fc/ratings,
51,博阿滕,博阿滕,Jérôme Boateng,需确认,26项已齐,FIFA 22,FIFA 22 historical database archive,83,83,,DEF,CB,RB,CB,Germany,Olympique Lyonnais,,190,32,right,4,2,78,71,64,69,34,58,83,43,84,84,84,78,85,84,47,64,72,63,87,60,55,74,60,83,8,8,183907,https://cdn.sofifa.com/players/183/907/22_60.png,https://www.kaggle.com/datasets/cashncarry/fifa-22-complete-player-dataset,暂按热罗姆·博阿滕处理，请确认
