id,name,pool,role,overall,grade,original_nationality,original_club,nationality,club,review_status,notes,database_name,database_uid,database_ca,database_pa,database_nationality,database_club
real-gk-024,桑切斯,GK,GK,77,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-025,菲利普·约恩森,GK,GK,77,C,丹麦,切尔西,丹麦,切尔西,待审阅,,,,,,,
real-gk-026,帕特里克·舒尔特,GK,GK,75,C,德国,斯图加特,德国,斯图加特,待审阅,,,,,,,
real-gk-027,马马尔达什维利,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-028,西莱森,GK,GK,77,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-029,叶海瓦·迪乌夫,GK,GK,77,C,法国,兰斯,法国,兰斯,待审阅,,,,,,,
real-gk-030,维尔布鲁根,GK,GK,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-031,德赫亚,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-032,纳瓦斯,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-033,什琴斯尼,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-034,布冯,GK,GK,88,A,意大利,尤文图斯,意大利,尤文图斯,待审阅,,,,,,,
real-gk-035,卡西利亚斯,GK,GK,89,A,西班牙,皇家马德里,西班牙,皇家马德里,待审阅,,,,,,,
real-gk-036,切赫,GK,GK,88,A,捷克,切尔西,捷克,切尔西,待审阅,,,,,,,
real-gk-037,范德萨,GK,GK,88,A,荷兰,曼联,荷兰,曼联,待审阅,,,,,,,
real-gk-038,卡恩,GK,GK,89,A,德国,拜仁慕尼黑,德国,拜仁慕尼黑,待审阅,,,,,,,
real-gk-039,舒梅切尔,GK,GK,88,A,丹麦,曼联,丹麦,曼联,待审阅,,,,,,,
real-gk-040,巴尔德斯,GK,GK,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-041,迪达,GK,GK,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-042,塞萨尔,GK,GK,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-043,巴特兹,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-044,莱曼,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-045,雷纳,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-046,坎波斯,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-047,伊基塔,GK,GK,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-048,曾加,GK,GK,87,A,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-049,佐夫,GK,GK,88,A,意大利,尤文图斯,意大利,尤文图斯,待审阅,,,,,,,
real-gk-050,雅辛,GK,GK,89,A,苏联,莫斯科迪纳摩,苏联,莫斯科迪纳摩,待审阅,,,,,,,
real-gk-051,马蒂亚·佩林,GK,GK,81,B,意大利,尤文图斯,意大利,尤文图斯,待审阅,,,,,,,
real-gk-052,梅雷特,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-053,斯科鲁普斯基,GK,GK,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-054,塞巴斯蒂安·博尔瑙,GK,GK,79,C,德国,沃尔夫斯堡,德国,沃尔夫斯堡,待审阅,,,,,,,
real-gk-055,佩林,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-056,帕特里西奥,GK,GK,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-057,阿尔班·拉丰,GK,GK,77,C,法国,南特,法国,南特,待审阅,,,,,,,
real-gk-058,穆索,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-059,法尔科内,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-060,拉杜,GK,GK,75,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-061,雷米罗,GK,GK,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-062,乌奈·西蒙,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-063,凯帕,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-064,伊兰·梅斯利耶,GK,GK,78,C,法国,利兹联,法国,利兹联,待审阅,,,,,,,
real-gk-065,鲁利,GK,GK,78,C,阿根廷,未登记俱乐部,阿根廷,,待审阅,,,,,,,
real-gk-066,佩尼亚,GK,GK,75,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-067,德米特罗维奇,GK,GK,77,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-068,巴塔利亚,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-069,古拉奇,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-070,鲍曼,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-071,诺阿·阿特博卢,GK,GK,82,B,德国,弗赖堡,德国,弗赖堡,待审阅,,,,,,,
real-gk-072,泽特尔,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-073,努贝尔,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-074,赫拉德茨基,GK,GK,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-075,霍恩,GK,GK,75,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-076,穆勒,GK,GK,75,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-077,施沃洛夫,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-078,卡斯特尔斯,GK,GK,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-079,比佐特,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-080,曼丹达,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-081,桑巴,GK,GK,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-082,拉丰,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-083,洛佩斯,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-084,琼·加西亚,GK,GK,82,B,西班牙,巴塞罗那,西班牙,巴塞罗那,待审阅,,,,,,,
real-gk-085,布拉斯维奇,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-086,本托,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-087,韦弗顿,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-088,卡西奥,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-089,罗西,GK,GK,77,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-090,阿尔玛尼,GK,GK,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-091,马尔凯辛,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-092,奥乔亚,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-093,霍华德,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-094,弗里德尔,GK,GK,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-095,凯勒,GK,GK,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-096,博诺,GK,GK,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-097,穆尼尔,GK,GK,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-098,瓦尼亚·米林科维奇-萨维奇,GK,GK,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-099,塔法雷尔,GK,GK,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-100,奇拉维特,GK,GK,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-gk-101,卢卡·齐达内,GK,GK,76,C,法国,格拉纳达,法国,格拉纳达,待审阅,,,,,,,
real-gk-102,阿尔瓦罗·瓦莱斯,GK,GK,78,C,西班牙,皇家贝蒂斯,西班牙,皇家贝蒂斯,待审阅,,,,,,,
real-gk-103,菲利普·约根森,GK,GK,78,C,丹麦,切尔西,丹麦,切尔西,待审阅,,,,,,,
real-gk-104,马德斯·赫尔曼森,GK,GK,78,C,丹麦,莱斯特城,丹麦,莱斯特城,待审阅,,,,,,,
real-gk-105,卡米尔·格拉巴拉,GK,GK,82,B,波兰,沃尔夫斯堡,波兰,沃尔夫斯堡,待审阅,,,,,,,
real-gk-106,阿图尔·博鲁茨,GK,GK,82,B,波兰,传奇球员,波兰,,待审阅,,,,,,,
real-gk-107,巴尔托沃梅伊·德龙戈夫斯基,GK,GK,78,C,波兰,帕纳辛奈科斯,波兰,帕纳辛奈科斯,待审阅,,,,,,,
real-gk-108,普雷德拉格·拉伊科维奇,GK,GK,81,B,塞尔维亚,吉达联合,塞尔维亚,吉达联合,待审阅,,,,,,,
real-gk-109,伊万·普罗维德尔,GK,GK,82,B,意大利,拉齐奥,意大利,拉齐奥,待审阅,,,,,,,
real-gk-110,马尔科·卡尔内塞基,GK,GK,82,B,意大利,亚特兰大,意大利,亚特兰大,待审阅,,,,,,,
real-gk-111,米歇尔·福尔姆,GK,GK,80,B,荷兰,传奇球员,荷兰,,待审阅,,,,,,,
real-gk-112,斯科特·卡森,GK,GK,75,C,英格兰,曼城,英格兰,曼城,待审阅,,,,,,,
real-gk-113,安东尼·洛佩斯,GK,GK,82,B,葡萄牙,南特,葡萄牙,南特,待审阅,,,,,,,
real-gk-114,耶罗恩·佐特,GK,GK,77,C,荷兰,阿尔克马尔,荷兰,阿尔克马尔,待审阅,,,,,,,
real-gk-115,马修·瑞安,GK,GK,78,C,澳大利亚,朗斯,澳大利亚,朗斯,待审阅,,,,,,,
real-gk-116,丹尼尔·巴赫曼,GK,GK,76,C,奥地利,沃特福德,奥地利,沃特福德,待审阅,,,,,,,
real-gk-117,伊沃·格尔比奇,GK,GK,76,C,克罗地亚,里泽体育,克罗地亚,里泽体育,待审阅,,,,,,,
real-gk-118,阿尔冯斯·阿雷奥拉,GK,GK,80,B,法国,西汉姆联,法国,西汉姆联,待审阅,,,,,,,
real-gk-119,保罗·伯纳多尼,GK,GK,76,C,法国,伊韦尔东,法国,伊韦尔东,待审阅,,,,,,,
real-gk-120,莱奥·雅尔丁,GK,GK,77,C,巴西,瓦斯科达伽马,巴西,瓦斯科达伽马,待审阅,,,,,,,
real-gk-121,马克·弗莱肯,GK,GK,80,B,荷兰,勒沃库森,荷兰,勒沃库森,待审阅,,,,,,,
real-gk-122,罗宾·罗夫斯,GK,GK,76,C,荷兰,奈梅亨,荷兰,奈梅亨,待审阅,,,,,,,
real-gk-123,纪尧姆·雷斯特,GK,GK,78,C,法国,图卢兹,法国,图卢兹,待审阅,,,,,,,
real-gk-124,詹姆斯·特拉福德,GK,GK,80,B,英格兰,曼城,英格兰,曼城,待审阅,,,,,,,
real-gk-125,铃木彩艳,GK,GK,82,B,日本,帕尔马,日本,帕尔马,待审阅,,,,,,,
real-gk-126,戈登·班克斯,GK,GK,89,A,英格兰,传奇球员,英格兰,,待审阅,,,,,,,
real-gk-127,彼得·希尔顿,GK,GK,88,A,英格兰,传奇球员,英格兰,,待审阅,,,,,,,
real-gk-128,大卫·希曼,GK,GK,87,A,英格兰,传奇球员,英格兰,,待审阅,,,,,,,
real-gk-129,帕特·詹宁斯,GK,GK,87,A,北爱尔兰,传奇球员,北爱尔兰,,待审阅,,,,,,,
real-gk-130,米歇尔·普雷德霍姆,GK,GK,88,A,比利时,传奇球员,比利时,,待审阅,,,,,,,
real-gk-131,让-马里·普法夫,GK,GK,88,A,比利时,传奇球员,比利时,,待审阅,,,,,,,
real-gk-132,詹卢卡·帕柳卡,GK,GK,88,A,意大利,传奇球员,意大利,,待审阅,,,,,,,
real-gk-133,安杰洛·佩鲁齐,GK,GK,87,A,意大利,传奇球员,意大利,,待审阅,,,,,,,
real-gk-134,弗朗切斯科·托尔多,GK,GK,87,A,意大利,传奇球员,意大利,,待审阅,,,,,,,
real-gk-135,克里斯蒂安·阿比亚蒂,GK,GK,84,B,意大利,传奇球员,意大利,,待审阅,,,,,,,
real-gk-136,安东尼·苏比萨雷塔,GK,GK,87,A,西班牙,传奇球员,西班牙,,待审阅,,,,,,,
real-gk-137,路易斯·阿尔科纳达,GK,GK,87,A,西班牙,传奇球员,西班牙,,待审阅,,,,,,,
real-gk-138,里卡多·萨莫拉,GK,GK,89,A,西班牙,传奇球员,西班牙,,待审阅,,,,,,,
real-gk-139,里纳特·达萨耶夫,GK,GK,88,A,俄罗斯,传奇球员,俄罗斯,,待审阅,,,,,,,
real-gk-140,内维尔·索撒尔,GK,GK,86,A,威尔士,传奇球员,威尔士,,待审阅,,,,,,,
real-gk-141,耶日·杜德克,GK,GK,83,B,波兰,传奇球员,波兰,,待审阅,,,,,,,
real-gk-142,布鲁斯·格罗贝拉,GK,GK,84,B,津巴布韦,传奇球员,津巴布韦,,待审阅,,,,,,,
real-gk-143,谢伊·吉文,GK,GK,84,B,爱尔兰,传奇球员,爱尔兰,,待审阅,,,,,,,
real-gk-144,乌戈·洛里斯,GK,GK,86,A,法国,传奇球员,法国,,待审阅,,,,,,,
real-gk-145,格雷戈里·库佩,GK,GK,84,B,法国,传奇球员,法国,,待审阅,,,,,,,
real-gk-146,塞尔希奥·戈耶切亚,GK,GK,85,B,阿根廷,传奇球员,阿根廷,,待审阅,,,,,,,
real-gk-147,王大雷,GK,GK,76,C,中国,山东泰山,中国,山东泰山,待审阅,,,,,,,
real-gk-148,颜骏凌,GK,GK,76,C,中国,上海海港,中国,上海海港,待审阅,,,,,,,
real-gk-149,赵贤祐,GK,GK,78,C,韩国,蔚山HD,韩国,蔚山HD,待审阅,,,,,,,
real-gk-150,中村航辅,GK,GK,77,C,日本,波尔蒂芒人,日本,波尔蒂芒人,待审阅,,,,,,,
real-gk-151,若安·加西亚,GK,GK,83,B,西班牙,巴塞罗那,西班牙,巴塞罗那,待审阅,,,,,,,
real-gk-152,卢卡斯·舍瓦利耶,GK,GK,83,B,法国,巴黎圣日耳曼,法国,巴黎圣日耳曼,待审阅,,,,,,,
real-gk-153,米莱·斯维拉尔,GK,GK,83,B,塞尔维亚,罗马,塞尔维亚,罗马,待审阅,,,,,,,
real-gk-154,米凯莱·迪格雷戈里奥,GK,GK,83,B,意大利,尤文图斯,意大利,尤文图斯,待审阅,,,,,,,
real-gk-155,埃利亚·卡普里莱,GK,GK,78,C,意大利,卡利亚里,意大利,卡利亚里,待审阅,,,,,,,
real-gk-156,耶万·迪乌夫,GK,GK,77,C,塞内加尔,尼斯,塞内加尔,尼斯,待审阅,,,,,,,
real-gk-157,赫罗尼莫·鲁利,GK,GK,80,B,阿根廷,马赛,阿根廷,马赛,待审阅,,,,,,,
real-gk-158,马特维·萨福诺夫,GK,GK,80,B,俄罗斯,巴黎圣日耳曼,俄罗斯,巴黎圣日耳曼,待审阅,,,,,,,
real-gk-159,卢卡斯·佩里,GK,GK,80,B,巴西,利兹联,巴西,利兹联,待审阅,,,,,,,
real-gk-160,瓦尔特·贝尼特斯,GK,GK,77,C,阿根廷,水晶宫,阿根廷,水晶宫,待审阅,,,,,,,
real-gk-161,凯文·特拉普,GK,GK,77,C,德国,巴黎FC,德国,巴黎FC,待审阅,,,,,,,
real-gk-162,让·比特兹,GK,GK,77,C,法国,科莫,法国,科莫,待审阅,,,,,,,
real-gk-163,乔治·彼得罗维奇,GK,GK,80,B,塞尔维亚,伯恩茅斯,塞尔维亚,伯恩茅斯,待审阅,,,,,,,
real-gk-164,马兹·赫尔曼森,GK,GK,77,C,丹麦,西汉姆联,丹麦,西汉姆联,待审阅,,,,,,,
real-gk-165,巴特·费布鲁亨,GK,GK,81,B,荷兰,布莱顿,荷兰,布莱顿,待审阅,,,,,,,
real-gk-166,迪恩·亨德森,GK,GK,81,B,英格兰,水晶宫,英格兰,水晶宫,待审阅,,,,,,,
real-gk-167,诺亚·阿图博卢,GK,GK,77,C,德国,弗赖堡,德国,弗赖堡,待审阅,,,,,,,
real-gk-168,罗宾·曾特纳,GK,GK,77,C,德国,美因茨,德国,美因茨,待审阅,,,,,,,
real-gk-169,芬恩·达门,GK,GK,75,C,德国,奥格斯堡,德国,奥格斯堡,待审阅,,,,,,,
real-gk-170,莫里茨·尼古拉斯,GK,GK,76,C,德国,门兴格拉德巴赫,德国,门兴格拉德巴赫,待审阅,,,,,,,
real-gk-171,戴维·索里亚,GK,GK,76,C,西班牙,赫塔费,西班牙,赫塔费,待审阅,,,,,,,
real-gk-172,塞尔希奥·埃雷拉,GK,GK,76,C,西班牙,奥萨苏纳,西班牙,奥萨苏纳,待审阅,,,,,,,
real-gk-173,奥尔扬·尼兰德,GK,GK,75,C,挪威,塞维利亚,挪威,塞维利亚,待审阅,,,,,,,
real-gk-174,布里斯·桑巴,GK,GK,79,C,法国,雷恩,法国,雷恩,待审阅,,,,,,,
real-gk-175,菲利普·科恩,GK,GK,75,C,瑞士,摩纳哥,瑞士,摩纳哥,待审阅,,,,,,,
real-def-001,范戴克,DEF,CB,87,A,荷兰,利物浦,荷兰,利物浦,待审阅,,,,,,,
real-def-002,鲁本·迪亚斯,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-003,萨利巴,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-004,吕迪格,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-005,保·托雷斯,DEF,CB,83,B,西班牙,阿斯顿维拉,西班牙,阿斯顿维拉,待审阅,,,,,,,
real-def-006,巴斯托尼,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-007,马尔基尼奥斯,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-008,米利唐,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-009,加布里埃尔,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-010,德利赫特,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-011,科纳特,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-012,金玟哉,DEF,CB,80,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-013,格瓦迪奥尔,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-014,于帕梅卡诺,DEF,CB,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-015,塔普索巴,DEF,CB,80,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-016,布雷默,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-017,阿切尔比,DEF,CB,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-018,帕瓦尔,DEF,CB,80,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-019,罗梅罗,DEF,CB,82,B,阿根廷,未登记俱乐部,阿根廷,,待审阅,,,,,,,
real-def-020,利桑德罗·马丁内斯,DEF,CB,80,B,阿根廷,未登记俱乐部,阿根廷,,待审阅,,,,,,,
real-def-021,斯通斯,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-022,阿克,DEF,CB,80,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-023,阿坎吉,DEF,CB,80,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-024,托莫里,DEF,CB,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-025,尼科·埃尔韦迪,DEF,CB,80,B,瑞士,门兴格拉德巴赫,瑞士,门兴格拉德巴赫,待审阅,,,,,,,
real-def-026,塔赫,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-027,约罗,DEF,CB,76,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-028,克里斯·理查兹,DEF,CB,76,C,美国,水晶宫,美国,水晶宫,待审阅,,,,,,,
real-def-029,安东尼奥·席尔瓦,DEF,CB,77,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-030,伊纳西奥,DEF,CB,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-031,拉波尔特,DEF,CB,82,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-032,佩佩,DEF,CB,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-033,蒂亚戈·席尔瓦,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-034,基耶利尼,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-035,博努奇,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-036,巴尔扎利,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-037,乔纳森·塔,DEF,CB,88,A,德国,拜仁慕尼黑,德国,拜仁慕尼黑,待审阅,,,,,,,
real-def-038,皮克,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-039,普约尔,DEF,CB,87,A,西班牙,巴塞罗那,西班牙,巴塞罗那,待审阅,,,,,,,
real-def-040,卢卡斯·埃尔南德斯,DEF,CB,80,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-041,费迪南德,DEF,CB,86,A,英格兰,曼联,英格兰,曼联,待审阅,,,,,,,
real-def-042,特里,DEF,CB,86,A,英格兰,切尔西,英格兰,切尔西,待审阅,,,,,,,
real-def-043,维迪奇,DEF,CB,86,A,塞尔维亚,曼联,塞尔维亚,曼联,待审阅,,,,,,,
real-def-044,卡瓦略,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-045,坎贝尔,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-046,亚当斯,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-047,内斯塔,DEF,CB,88,A,意大利,AC米兰,意大利,AC米兰,待审阅,,,,,,,
real-def-048,卡纳瓦罗,DEF,CB,88,A,意大利,帕尔马,意大利,帕尔马,待审阅,,,,,,,
real-def-049,马尔蒂尼,DEF,CB,89,A,意大利,AC米兰,意大利,AC米兰,待审阅,,,,,,,
real-def-050,巴雷西,DEF,CB,89,A,意大利,AC米兰,意大利,AC米兰,待审阅,,,,,,,
real-def-051,贝肯鲍尔,DEF,CB,95,S,德国,拜仁慕尼黑,德国,拜仁慕尼黑,待审阅,,,,,,,
real-def-052,卢西奥,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-053,萨穆埃尔,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-054,戈丁,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-055,孔帕尼,DEF,CB,85,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-056,阿尔德韦雷尔德,DEF,CB,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-057,维尔通亨,DEF,CB,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-058,库利巴利,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-059,胡梅尔斯,DEF,CB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-060,博阿滕,DEF,CB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-061,阿什拉夫,DEF,RB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-062,卡瓦哈尔,DEF,RB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-063,亚历山大-阿诺德,DEF,RB,84,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-064,沃克,DEF,RB,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-065,万德松,DEF,RB,81,B,巴西,摩纳哥,巴西,摩纳哥,待审阅,,,,,,,
real-def-066,坎塞洛,DEF,RB,83,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-067,里斯·詹姆斯,DEF,RB,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-068,本·怀特,DEF,RB,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-069,达洛特,DEF,RB,77,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-070,孔德,DEF,RB,81,B,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-071,邓弗里斯,DEF,RB,79,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-072,迪洛伦佐,DEF,RB,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
real-def-073,特里皮尔,DEF,RB,78,C,未登记,未登记俱乐部,,,待审阅,,,,,,,
